id,title,slug,email,website,email_matches_site,city,founding_year,rag_score,sources,catalog_url
1869,Costoso,costoso,info@costoso.ru,https://costoso-solstand.ru,no,,,0.578,7,https://wearbase.ru/ru/brands/costoso
4996,Rudiks,rudiks,hello@rudiks.ru,https://rudiks.ru,yes,,,0.576,14,https://wearbase.ru/ru/brands/rudiks
6160,Дюма,dyuma,shop@dyma.ru,https://dyma.ru/,yes,,,0.57,8,https://wearbase.ru/ru/brands/dyuma
503,"Senz me",senz-me,senzspb@yandex.ru,https://senzme.ru,no,,,0.567,15,https://wearbase.ru/ru/brands/senz-me
835,8tones,8tones,8tones@mail.ru,https://8tones.ru,no,,,0.565,8,https://wearbase.ru/ru/brands/8tones
5761,"Urban Soul",urbansoul,info@urbansoul.ru,https://urbansoul.ru,yes,,,0.549,4,https://wearbase.ru/ru/brands/urbansoul
840,"A SECRET KNOWLEDGE ASK STUDIO",asecretknowledgeaskstudio,im@askstudio.ru,https://askstudio.ru,yes,,,0.547,9,https://wearbase.ru/ru/brands/asecretknowledgeaskstudio
1845,Contrabandeados,contrabandeados,wish@contrabandeados.com,https://contrabandos.online,no,,,0.546,4,https://wearbase.ru/ru/brands/contrabandeados
1258,Bailey,bailey,info@sportcity74.ru,https://shop.shapole.ru/brands/bailey/,no,,,0.535,15,https://wearbase.ru/ru/brands/bailey
777,Шu,shu-777,order@shuclothes.ru,https://www.shuclothes.com,no,,,0.53,15,https://wearbase.ru/ru/brands/shu-777
